Day,RKM483,RKM479,RKM474,RKM454
118,2,2,0,0
120,-0,-0,1,0
121,1,1,-0,0
124,1,-0,-0,0
126,-0,-0,1,0
127,-0,2,-0,0
135,-0,-0,1,0
136,5,2,-0,0
141,-0,-0,1,0
145,3,3,-0,0
148,1,3,-0,0
151,1,1,-0,0
154,1,3,-0,0
156,-0,-0,1,0
157,6,10,-0,0
159,-0,-0,1,0
160,5,3,-0,0
162,-0,-0,1,0
163,6,10,-0,0
165,-0,-0,1,0
166,10,7,-0,0
168,-0,-0,3,0
169,2,3,-0,0
171,-0,-0,3,0
172,8,9,-0,0
174,-0,-0,5,0
175,14,16,-0,0
177,-0,-0,1,0
178,22,14,-0,0
180,-0,-0,3,0
181,8,9,-0,0
183,-0,-0,3,0
184,14,12,-0,0
186,-0,-0,2,0
187,10,9,-0,0
189,-0,-0,1,0
190,18,8,-0,0
192,-0,-0,1,0
193,8,3,-0,0
195,-0,-0,1,0
196,4,12,-0,0
198,-0,-0,2,0
199,4,4,-0,0
201,-0,-0,2,0
202,2,3,-0,0
204,-0,-0,1,0
205,7,5,-0,0
208,1,2,-0,0
211,-0,2,-0,0
214,-0,2,-0,0
220,2,-0,-0,0
223,2,-0,-0,0
