Date,Section,SumOfCOunt
05/05/2021,1,1
05/05/2021,2,1
05/11/2021,1,1
05/17/2021,2,1
05/19/2021,3,1
05/20/2021,2,1
05/23/2021,1,2
05/26/2021,1,2
05/26/2021,2,1
05/28/2021,3,1
05/29/2021,2,1
05/31/2021,3,1
06/01/2021,2,4
06/02/2021,4,1
06/04/2021,1,12
06/04/2021,2,5
06/06/2021,3,7
06/07/2021,1,5
06/07/2021,2,4
06/09/2021,3,3
06/10/2021,1,11
06/10/2021,2,10
06/12/2021,3,3
06/13/2021,1,12
06/13/2021,2,6
06/15/2021,3,2
06/16/2021,1,17
06/16/2021,2,16
06/18/2021,3,3
06/19/2021,1,17
06/19/2021,2,10
06/21/2021,3,3
06/22/2021,1,32
06/22/2021,2,15
06/24/2021,3,4
06/25/2021,1,33
06/25/2021,2,24
06/27/2021,3,3
06/28/2021,1,46
06/28/2021,2,25
06/30/2021,3,5
07/01/2021,1,43
07/01/2021,2,44
07/03/2021,3,12
07/04/2021,1,37
07/04/2021,2,27
07/06/2021,3,17
07/07/2021,1,80
07/07/2021,2,36
07/09/2021,3,18
07/10/2021,1,65
07/10/2021,2,47
07/12/2021,3,18
07/13/2021,1,61
07/13/2021,2,29
07/15/2021,3,10
07/16/2021,1,119
07/16/2021,2,50
07/17/2021,4,1
07/18/2021,3,20
07/19/2021,1,79
07/19/2021,2,34
07/21/2021,3,19
07/22/2021,1,59
07/22/2021,2,30
07/24/2021,3,14
07/25/2021,1,53
07/25/2021,2,26
07/26/2021,4,1
07/27/2021,3,3
07/28/2021,1,54
07/28/2021,2,22
07/30/2021,3,3
07/31/2021,1,48
07/31/2021,2,11
08/02/2021,3,7
08/03/2021,1,22
08/03/2021,2,13
08/04/2021,4,1
08/05/2021,3,1
08/06/2021,1,25
08/06/2021,2,8
08/08/2021,3,5
08/09/2021,1,13
08/09/2021,2,3
08/11/2021,3,1
08/12/2021,1,7
08/12/2021,2,5
08/14/2021,3,2
08/15/2021,1,2
08/15/2021,2,4
