"year","MedianAerial","MedianCarcass","DiffsMedian","Aerial95","Carcass95","Diffs95","aerialcount","carcasscount","adjust","delta","car.aer.ratio"
2004,191,186,5,62,62,0,621,1060,1068,8,1.70692431561997
2005,175,181,-6,64,56,8,1968,2953,2961,8,1.5005081300813
2006,183,178,5,37,62,-25,717,2194,2195,1,3.05997210599721
2007,152,184,-32,53,74,-21,288,544,554,10,1.88888888888889
2008,171,173,-2,52,59,-7,441,381,382,1,0.863945578231292
2009,184,172,12,31,50,-19,86,550,554,4,6.3953488372093
2010,168,177,-9,49,71,-22,223,361,362,1,1.61883408071749
2011,188,188,0,21,59,-38,18,165,173,8,9.16666666666667
2012,182,190,-8,71,56,15,261,595,618,23,2.27969348659004
2013,192,189,3,54,56,-2,569,1029,1033,4,1.80843585237258
2014,182,185,-3,64,62,2,127,413,418,5,3.25196850393701
2015,182,184,-2,71,71,0,196,391,394,3,1.99489795918367
2016,188,183,5,83,89,-6,18,127,134,7,7.05555555555556
2017,197,196,1,42,83,-41,26,59,58,-1,2.26923076923077
2018,182,195,-13,69,77,-8,197,404,409,5,2.0507614213198
2019,175,182,-7,51,62,-11,515,1083,1084,1,2.10291262135922
2020,177,185,-8,70,57,13,491,1575,1577,2,3.20773930753564
2021,175,186,-11,66,59,7,578,1661,1667,6,2.87370242214533
2022,182,185,-3,67,74,-7,406,604,617,13,1.48768472906404
2023,194,184,10,62,53,9,64,227,230,3,3.546875
